security_id,nse_symbol,isin,company_name,issuer_id,exchange_id,listing_date,active_flag,_source_file,_extracted_date,_quality_issues,_confidence_score,_manual_review_required
189,ASHIKA,INE094B01013,ASHIKA CREDIT CAPITAL LIMITED,189,1,2026-04-20,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
190,ASHIMASYN,INE440A01010,ASHIMA LIMITED,190,1,1995-07-27,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
191,ASHOKA,INE442H01029,ASHOKA BUILDCON LIMITED,191,1,2010-10-14,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
192,ASHOKAMET,INE760Y01011,ASHOKA METCAST LIMITED,192,1,2023-06-27,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
193,ASHOKLEY,INE208A01029,ASHOK LEYLAND LIMITED,193,1,1995-05-25,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
194,ASIANENE,INE276G01015,ASIAN ENERGY SERVICES LIMITED,194,1,2021-12-09,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
195,ASIANHOTNR,INE363A01022,ASIAN HOTELS (NORTH) LIMITED,195,1,2010-04-07,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
196,ASIANPAINT,INE021A01026,ASIAN PAINTS LIMITED,196,1,1995-05-31,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
197,ASIANTILES,INE022I01019,ASIAN GRANITO INDIA LIMITED,197,1,2007-08-23,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
198,ASKAUTOLTD,INE491J01022,ASK AUTOMOTIVE LIMITED,198,1,2023-11-15,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
199,ASMS,INE855F01042,BARTRONICS INDIA LIMITED,199,1,2023-02-09,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
200,ASPINWALL,INE991I01015,ASPINWALL AND COMPANY LIMITED,200,1,2016-06-14,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
201,ASTAR,INE194D01017,ASIAN STAR COMPANY LIMITED,201,1,2026-04-20,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
202,ASTEC,INE563J01010,ASTEC LIFESCIENCES LIMITED,202,1,2009-11-25,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
203,ASTERDM,INE914M01019,ASTER DM HEALTHCARE LIMITED,203,1,2018-02-26,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
204,ASTRAL,INE006I01046,ASTRAL LIMITED,204,1,2007-03-20,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
205,ASTRAMICRO,INE386C01029,ASTRA MICROWAVE PRODUCTS LIMITED,205,1,2004-11-01,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
206,ASTRAZEN,INE203A01020,ASTRAZENECA PHARMA INDIA LIMITED,206,1,2001-05-04,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
207,ASTRON,INE646X01014,ASTRON PAPER AND BOARD MILL LIMITED,207,1,2017-12-29,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
208,ATALREAL,INE0ALR01029,ATAL REALTECH LIMITED,208,1,2023-05-12,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
209,ATAM,INE09KD01013,ATAM VALVES LIMITED,209,1,2023-05-10,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
210,ATGL,INE399L01023,ADANI TOTAL GAS LIMITED,210,1,2018-11-05,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
211,ATHERENERG,INE0LEZ01016,ATHER ENERGY LIMITED,211,1,2025-05-06,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
212,ATL,INE0NN701020,ALLCARGO TERMINALS LIMITED,212,1,2023-08-10,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
213,ATLANTAA,INE285H01022,ATLANTAA LIMITED,213,1,2006-09-25,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
214,ATLANTAELE,INE0Z4F01028,ATLANTA ELECTRICALS LIMITED,214,1,2025-09-29,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
215,ATLASCYCLE,INE446A01025,ATLAS CYCLES (HARYANA) LIMITED,215,1,1996-10-23,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
216,ATUL,INE100A01010,ATUL LIMITED,216,1,1998-05-06,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
217,ATULAUTO,INE951D01028,ATUL AUTO LIMITED,217,1,2013-06-26,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
218,AUBANK,INE949L01017,AU SMALL FINANCE BANK LIMITED,218,1,2017-07-10,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
