issuer_id,issuer_name,sector,market_cap_category,country
124,ALOK INDUSTRIES LIMITED,,,India
125,ALPA LABORATORIES LIMITED,,,India
126,ALPHAGEO (INDIA) LIMITED,,,India
127,ALPINE TEXWORLD LIMITED,,,India
128,ALUFLUORIDE LIMITED,,,India
129,AMAGI MEDIA LABS LIMITED,,,India
130,AMAL LIMITED,,,India
131,AMANTA HEALTHCARE LIMITED,,,India
132,AMARJOTHI SPINNING MILLS LIMITED,,,India
133,AMBALAL SARABHAI ENTERPRISES LIMITED,,,India
134,AMBER ENTERPRISES INDIA LIMITED,,,India
135,AMBICA AGARBATHIES AND AROMA INDUSTRIES LIMITED,,,India
136,AMBIKA COTTON MILLS LIMITED,,,India
137,AMBUJA CEMENTS LIMITED,,,India
138,AMD INDUSTRIES LIMITED,,,India
139,AMJ LAND HOLDINGS LIMITED,,,India
140,AMINES AND PLASTICIZERS LIMITED,,,India
141,AMRUTANJAN HEALTH CARE LIMITED,,,India
142,ANAND RATHI WEALTH LIMITED,,,India
143,ANANT RAJ LIMITED,,,India
144,ANDHRA PAPER LIMITED,,,India
145,THE ANDHRA SUGARS LIMITED,,,India
146,ANDREW YULE AND COMPANY LIMITED,,,India
147,ANGEL ONE LIMITED,,,India
148,ANIK INDUSTRIES LIMITED,,,India
149,ANKIT METAL AND POWER LIMITED,,,India
150,ANMOL INDIA LIMITED,,,India
151,ANNAPURNA SWADISHT LIMITED,,,India
152,ANSAL PROPERTIES AND INFRASTRUCTURE LIMITED,,,India
153,ANSAL BUILDWELL LIMITED,,,India
154,ANTELOPUS SELAN ENERGY LIMITED,,,India
155,ANTARCTICA LIMITED,,,India
156,ANTHEM BIOSCIENCES LIMITED,,,India
157,ANUH PHARMA LIMITED,,,India
158,THE ANUP ENGINEERING LIMITED,,,India
159,ANUPAM RASAYAN INDIA LIMITED,,,India
160,APAR INDUSTRIES LIMITED,,,India
161,ANJANI PORTLAND CEMENT LIMITED,,,India
162,APCOTEX INDUSTRIES LIMITED,,,India
163,APEX FROZEN FOODS LIMITED,,,India
164,APL APOLLO TUBES LIMITED,,,India
165,ALEMBIC PHARMACEUTICALS LIMITED,,,India
166,APOLLO MICRO SYSTEMS LIMITED,,,India
167,APOLLO HOSPITALS ENTERPRISE LIMITED,,,India
168,APOLLO PIPES LIMITED,,,India
169,APOLLO TYRES LIMITED,,,India
170,APOLLO SINDOORI HOTELS LIMITED,,,India
171,APOORVA LEASING FINANCE AND INVESTMENT COMPANY LIMITED,,,India
172,APTECH LIMITED,,,India
173,APTUS VALUE HOUSING FINANCE INDIA LIMITED,,,India
174,AQYLON NEXUS LIMITED,,,India
175,ARCHIDPLY INDUSTRIES LIMITED,,,India
176,ARCHIES LIMITED,,,India
177,ARCL ORGANICS LIMITED,,,India
178,ARDEE INDUSTRIES LIMITED,,,India
179,AMARA RAJA ENERGY AND MOBILITY LIMITED,,,India
180,RAJDARSHAN INDUSTRIES LIMITED,,,India
181,ARFIN INDIA LIMITED,,,India
182,ARIES AGRO LIMITED,,,India
183,ARIHANT FOUNDATIONS AND HOUSING LIMITED,,,India
184,ARIHANT CAPITAL MARKETS LIMITED,,,India
185,ARIHANT SUPERSTRUCTURES LIMITED,,,India
186,ARISINFRA SOLUTIONS LIMITED,,,India
187,ARKADE DEVELOPERS LIMITED,,,India
188,ARMAN FINANCIAL SERVICES LIMITED,,,India
189,ARO GRANITE INDUSTRIES LIMITED,,,India
190,ARROW GREENTECH LIMITED,,,India
191,ARSHIYA LIMITED,,,India
192,ANAND RATHI SHARE AND STOCK BROKERS LIMITED,,,India
193,ARTEMIS MEDICARE SERVICES LIMITED,,,India
194,ART NIRMAN LIMITED,,,India
195,ARVEE LABORATORIES (INDIA) LIMITED,,,India
196,ARVIND LIMITED,,,India
197,ARVIND FASHIONS LIMITED,,,India
198,ARVIND SMARTSPACES LIMITED,,,India
199,ARYAMAN FINANCIAL SERVICES LIMITED,,,India
200,ASAHI INDIA GLASS LIMITED,,,India
201,ASAHI SONGWON COLORS LIMITED,,,India
202,AUTOMOTIVE STAMPINGS AND ASSEMBLIES LIMITED,,,India
203,ASSOCIATED ALCOHOLS AND BREWERIES LIMITED,,,India
204,ASHAPURA MINECHEM LIMITED,,,India
205,ASHIANA HOUSING LIMITED,,,India
206,ASHIKA GLOBAL SECURITIES LIMITED,,,India
207,ASHIMA LIMITED,,,India
208,ASHOKA BUILDCON LIMITED,,,India
209,ASHOKA METCAST LIMITED,,,India
210,ASHOK LEYLAND LIMITED,,,India
211,ASIAN ENERGY SERVICES LIMITED,,,India
212,ASIAN HOTELS (NORTH) LIMITED,,,India
213,ASIAN PAINTS LIMITED,,,India
214,ASIAN GRANITO INDIA LIMITED,,,India
215,ASIAN TEA AND EXPORTS LIMITED,,,India
216,ASK AUTOMOTIVE LIMITED,,,India
217,AVIO SMART MARKET STACK LIMITED,,,India
218,ASPINWALL AND COMPANY LIMITED,,,India
219,ASSAM ENTRADE LIMITED,,,India
220,ASIAN STAR COMPANY LIMITED,,,India
221,ASTEC LIFESCIENCES LIMITED,,,India
222,ASTER DM QUALITY CARE LIMITED,,,India
223,ASTRAL LIMITED,,,India
224,ASTRA MICROWAVE PRODUCTS LIMITED,,,India
225,ASTRAZENECA PHARMA INDIA LIMITED,,,India
226,ASTRON PAPER AND BOARD MILL LIMITED,,,India
227,ATAL REALTECH LIMITED,,,India
228,ATAM VALVES LIMITED,,,India
229,ADANI TOTAL GAS LIMITED,,,India
230,ATHER ENERGY LIMITED,,,India
231,ALLCARGO TERMINALS LIMITED,,,India
232,ATLANTAA LIMITED,,,India
233,ATLANTA ELECTRICALS LIMITED,,,India
234,ATLAS CYCLES (HARYANA) LIMITED,,,India
235,ATUL LIMITED,,,India
236,ATUL AUTO LIMITED,,,India
237,AU SMALL FINANCE BANK LIMITED,,,India
238,AURIONPRO SOLUTIONS LIMITED,,,India
239,AUROBINDO PHARMA LIMITED,,,India
240,AURUM PROPTECH LIMITED,,,India
241,AURUS GEM CORPORATION LIMITED,,,India
242,AUSOM ENTERPRISE LIMITED,,,India
243,AUSTIN ENGINEERING COMPANY LIMITED,,,India
244,AUTOMOTIVE AXLES LIMITED,,,India
245,AUTOLINE INDUSTRIES LIMITED,,,India
246,AVADH SUGAR AND ENERGY LIMITED,,,India
247,AVALON TECHNOLOGIES LIMITED,,,India
248,AVANCE TECHNOLOGIES LIMITED,,,India
249,AVANTEL LIMITED,,,India
250,AVANTI FEEDS LIMITED,,,India
251,AVG LOGISTICS LIMITED,,,India
252,ADITYA VISION LIMITED,,,India
253,AVONMORE CAPITAL AND MANAGEMENT SERVICES LIMITED,,,India
254,AVRO INDIA LIMITED,,,India
255,AVT NATURAL PRODUCTS LIMITED,,,India
256,AWFIS SPACE SOLUTIONS LIMITED,,,India
257,ANTONY WASTE HANDLING CELL LIMITED,,,India
258,AWL AGRI BUSINESS LIMITED,,,India
259,AXIS BANK LIMITED,,,India
260,AXISCADES TECHNOLOGIES LIMITED,,,India
261,AXITA COTTON LIMITED,,,India
262,AXTEL INDUSTRIES LIMITED,,,India
263,AYE FINANCE LIMITED,,,India
264,AYM SYNTEX LIMITED,,,India
265,AZAD ENGINEERING LIMITED,,,India
266,AZAD INDIA MOBILITY LIMITED,,,India
267,BAFNA PHARMACEUTICALS LIMITED,,,India
268,B.A.G FILMS AND MEDIA LIMITED,,,India
269,BAID FINSERV LIMITED,,,India
270,BAJAJ AUTO LIMITED,,,India
271,BAJAJ CONSUMER CARE LIMITED,,,India
272,BAJAJ ELECTRICALS LIMITED,,,India
273,BAJAJ FINSERV LIMITED,,,India
274,BAJAJ HEALTHCARE LIMITED,,,India
275,BAJAJ HOUSING FINANCE LIMITED,,,India
276,BAJAJ HINDUSTHAN SUGAR LIMITED,,,India
277,BAJAJ HOLDINGS AND INVESTMENT LIMITED,,,India
278,INDEF MANUFACTURING LIMITED,,,India
279,BAJAJ STEEL INDUSTRIES LIMITED,,,India
280,BAJEL PROJECTS LIMITED,,,India
281,BAJAJ FINANCE LIMITED,,,India
282,SHREE TIRUPATI BALAJEE AGRO TRADING COMPANY LIMITED,,,India
283,BALAJI TELEFILMS LIMITED,,,India
284,BALAJI AMINES LIMITED,,,India
285,BALAXI PHARMACEUTICALS LIMITED,,,India
286,BALKRISHNA PAPER MILLS LIMITED,,,India
287,BALKRISHNA INDUSTRIES LIMITED,,,India
