security_id,trading_date,open_price,high_price,low_price,close_price,volume,normalization_error,_source_file,_extracted_date,_quality_issues,_confidence_score,_manual_review_required
29.0,2026-09-02,390.0,397.05,385.1,397.05,4883439,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
32.0,2026-09-02,51.1,51.29,50.2,50.47,4428051,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
34.0,2026-09-02,84.6,84.7,82.61,82.78,860340,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
358.0,2026-09-02,127.02,129.0,125.62,126.47,11603,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
37.0,2026-09-02,1350.3,1350.3,1318.7,1331.1,84555,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
511.0,2026-09-02,3742.0,3787.6,3665.2,3721.4,222182,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
254.0,2026-09-02,601.0,607.6,593.15,599.85,315136,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
58.0,2026-09-02,1706.0,1744.8,1670.8,1730.3,71667,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
59.0,2026-09-02,10.53,10.55,10.02,10.26,7962,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
61.0,2026-09-02,2095.0,2160.0,2080.0,2139.0,49312,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
62.0,2026-09-02,116.62,121.09,115.1,117.89,331320,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
65.0,2026-09-02,295.35,296.6,292.25,292.9,188103,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
63.0,2026-09-02,49.6,50.0,49.3,49.43,27794,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
64.0,2026-09-02,134.55,137.98,133.41,136.89,48518,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
66.0,2026-09-02,1.16,1.26,1.11,1.15,899571,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
1820.0,2026-09-02,233.34,258.99,233.34,246.17,1238324,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
67.0,2026-09-02,1202.0,1252.9,1200.0,1241.8,722924,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
68.0,2026-09-02,268.45,288.3,266.3,286.3,3128778,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
70.0,2026-09-02,245.0,248.15,241.03,245.62,1668299,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
71.0,2026-09-02,142.0,143.59,139.41,140.46,413196,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
72.0,2026-09-02,548.2,561.45,536.3,540.75,1124008,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
73.0,2026-09-02,79.87,84.7,77.8,80.7,72398,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
75.0,2026-09-02,1685.0,1693.7,1641.1,1646.4,232941,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
76.0,2026-09-02,282.05,286.25,280.5,285.1,402500,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
77.0,2026-09-02,1561.0,1561.0,1509.0,1517.9,443298,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
78.0,2026-09-02,160.99,161.8,157.05,159.41,7436,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
81.0,2026-09-02,439.5,454.7,432.05,450.55,49700,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
83.0,2026-09-02,776.0,778.35,748.0,749.45,199603,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
84.0,2026-09-02,284.7,285.0,276.5,280.75,231029,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
86.0,2026-09-02,102.37,104.9,100.6,100.9,3722,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
87.0,2026-09-02,25.63,26.44,24.81,24.99,33087,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
88.0,2026-09-02,1.99,2.04,1.96,1.98,89045,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
90.0,2026-09-02,37.25,38.37,36.7,37.27,2566,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
92.0,2026-09-02,606.05,611.65,590.0,602.2,107402,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
94.0,2026-09-02,4243.2,4260.0,4141.0,4159.7,51399,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
840.0,2026-09-02,47.75,47.93,46.25,47.28,12252,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
96.0,2026-09-02,14.92,15.05,14.5,14.83,68092,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
97.0,2026-09-02,86.68,88.5,86.5,86.51,3469,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
98.0,2026-09-02,3504.8,3544.0,3425.0,3481.7,99445,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
99.0,2026-09-02,569.0,582.0,565.0,570.65,62498,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
100.0,2026-09-02,114.8,117.01,113.79,115.69,326215,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
101.0,2026-09-02,3.74,3.8,3.7,3.72,151345,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
102.0,2026-09-02,24.7,26.0,24.52,25.2,5134,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
104.0,2026-09-02,9.19,9.26,9.02,9.21,14000,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
105.0,2026-09-02,4.85,5.48,4.7,5.48,3044554,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
79.0,2026-09-02,9.31,9.58,9.31,9.39,196038,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
108.0,2026-09-02,7.2,7.69,7.16,7.41,370249,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
106.0,2026-09-02,0.42,0.43,0.41,0.42,1428759,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
107.0,2026-09-02,403.0,403.85,375.0,403.85,32662,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
109.0,2026-09-02,778.0,794.9,768.2,770.25,750068,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
110.0,2026-09-02,8.1,8.16,7.85,7.96,82889,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
111.0,2026-09-02,875.1,878.0,861.0,871.7,3973,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
112.0,2026-09-02,98.85,101.0,98.0,100.14,645226,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
166.0,2026-09-02,845.0,859.0,823.25,826.9,172875,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
113.0,2026-09-02,2860.9,2980.0,2860.9,2884.0,310,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
114.0,2026-09-02,63.0,64.9,62.57,63.8,1328784,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
115.0,2026-09-02,652.0,672.55,647.65,665.5,22999,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
116.0,2026-09-02,1438.1,1470.1,1398.1,1417.9,561531,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
117.0,2026-09-02,70.45,70.45,66.6,68.86,5599,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
118.0,2026-09-02,5280.0,5289.5,5187.5,5210.0,218220,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
119.0,2026-09-02,1981.1,2044.5,1956.7,1975.5,138950,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
122.0,2026-09-02,200.0,202.84,197.46,199.61,180025,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
85.0,2026-09-02,13.56,13.95,13.28,13.79,1532028,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
120.0,2026-09-02,11.92,12.37,11.74,12.27,16512418,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
232.0,2026-09-02,25.3,25.3,23.5,23.8,782831,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
121.0,2026-09-02,811.9,811.9,788.55,796.55,10831,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
31.0,2026-09-02,614.0,614.9,603.35,604.4,125467,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
60.0,2026-09-02,103.8,104.94,100.65,103.9,60736,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
123.0,2026-09-02,17.02,17.9,16.8,17.43,286311,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
124.0,2026-09-02,7.6,8.19,7.06,7.73,117258835,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
125.0,2026-09-02,61.73,65.0,61.35,63.13,18733,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
126.0,2026-09-02,289.9,300.75,281.35,300.0,13023,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
127.0,2026-09-02,51.69,52.38,50.46,51.09,293413,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
128.0,2026-09-02,509.9,509.9,491.9,502.55,11146,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
129.0,2026-09-02,578.0,582.25,569.0,572.8,264517,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
130.0,2026-09-02,755.0,771.0,741.0,749.7,15022,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
131.0,2026-09-02,190.0,190.0,186.5,186.5,24024,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
180.0,2026-09-02,878.0,882.3,864.15,871.25,410795,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
132.0,2026-09-02,158.0,160.0,155.0,156.13,598,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
133.0,2026-09-02,42.25,44.5,42.25,44.1,44130,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
134.0,2026-09-02,7470.0,7482.5,7281.5,7415.0,174407,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
135.0,2026-09-02,25.49,25.5,24.26,24.75,26635,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
136.0,2026-09-02,1625.1,1648.8,1614.4,1629.2,9215,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
137.0,2026-09-02,400.0,402.7,395.05,402.7,1330391,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
138.0,2026-09-02,57.02,58.5,55.55,57.39,42435,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
140.0,2026-09-02,184.0,185.0,180.0,180.32,5863,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
74.0,2026-09-02,173.95,182.32,172.63,179.25,711360,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
139.0,2026-09-02,39.0,39.39,38.33,38.61,5934,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
141.0,2026-09-02,499.5,510.9,499.5,500.25,33541,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
193.0,2026-09-02,500.0,514.2,500.0,508.3,199206,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
142.0,2026-09-02,2200.0,2212.0,2182.0,2198.3,183620,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
143.0,2026-09-02,583.0,594.85,571.35,588.85,1282254,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
46.0,2026-09-02,44.1,44.2,43.13,43.92,8724,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
144.0,2026-09-02,60.5,61.3,60.2,61.09,234449,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
145.0,2026-09-02,96.87,99.8,96.11,99.2,490982,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
146.0,2026-09-02,27.66,28.35,27.51,28.15,123709,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
147.0,2026-09-02,280.25,280.85,275.25,279.25,4437022,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
148.0,2026-09-02,44.75,46.47,44.11,44.77,4037,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
162.0,2026-09-02,100.5,100.5,98.9,100.0,7960,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
149.0,2026-09-02,1.71,1.72,1.69,1.71,8722,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
89.0,2026-09-02,15.49,15.76,15.32,15.56,1668193,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
150.0,2026-09-02,10.07,10.36,9.91,9.97,61224,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
151.0,2026-09-02,144.04,146.58,141.5,143.73,26855,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
152.0,2026-09-02,72.0,75.6,70.0,75.6,6333016,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
154.0,2026-09-02,82.0,82.0,76.1,78.91,1443,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
153.0,2026-09-02,3.26,3.26,3.24,3.26,3398,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
156.0,2026-09-02,0.75,0.77,0.72,0.73,415805,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
155.0,2026-09-02,813.0,951.15,807.1,951.15,12446135,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
157.0,2026-09-02,920.0,952.8,915.65,934.5,1484697,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
259.0,2026-09-02,375.0,375.0,370.1,372.95,63740,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
158.0,2026-09-02,81.43,81.93,78.4,78.94,138379,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
